order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202401371439,2024-01-23,2024-01-27,CU0109,PR515, Central,furniture,Bookcases,5,"$2,861.55",0,1277.65
NM202401169552,2024-01-26,2024-01-29,CU0145,PR524,south,Office Supplies,Art,1,$67.61,0.2,1.67
NM202401937680,2024-01-02,2024-01-03,CU0126,PR510,south,furniture,Chairs,5,"$1,213.20",0,379.15
NM202401971477,2024-01-29,2024-01-30,CU0145,PR506, South,Technology,Accessories,2,$915.32,0.3,258.76
NM202401401404,2024-01-12,2024-01-15,CU0207,PR506,central,Technology,Accessories,6,"$3,530.52",0.1,1560.84
NM202401886671,2024-01-30,2024-02-01,CU0059,PR505, South,Technology,Accessories,6,$466.18,0.6,-208.94
NM202401622598,2024-01-23,2024-01-23,CU0041,PR516,SOUTH,OFFICE SUPPLIES,Binders,7,$53.98,,19.82
NM202401331646,2024-01-01,2024-01-08,CU0222,PR521,west,office supplies,Storage,8,$398.40,0,94.56
NM202401409843,2024-01-03,2024-01-07,CU0212,PR507, East,Technology,Machines,5,$213.45,0,114.2
NM202401794106,2024-01-30,2024-02-03,CU0196,PR518,East ,Office Supplies,Paper,6,$365.31,0.1,161.31
NM202401289834,2024-01-06,2024-01-12,CU0181,PR506, East,TECHNOLOGY,Accessories,4,"$2,092.16",0.2,779.04
NM202401846010,2024-01-27,2024-02-01,CU0100,PR515, Central,FURNITURE,Bookcases,4,"$2,289.24",0,1022.12
NM202401682290,2024-01-14,2024-01-20,CU0195,PR522,SOUTH,office supplies,Storage,7,$291.83,0,137.69
NM202401829426,2024-01-11,2024-01-15,CU0072,PR501,South ,technology,Phones,3,"$2,652.15",0.15,511.92
NM202401254521,2024-01-16,2024-01-17,CU0056,PR512,EAST,furniture,Tables,3,"$1,672.68",0.2,150.0
NM202401401242,2024-01-19,2024-01-23,CU0239,PR522,SOUTH,OFFICE SUPPLIES,Storage,8,$333.52,0,157.36
NM202401793006,2024-01-21,2024-01-23,CU0055,PR505,WEST,TECHNOLOGY,Accessories,3,$524.45,0.1,186.89
NM202401518115,2024-01-12,2024-01-19,CU0067,PR502,East,TECHNOLOGY,Phones,2,$634.40,0,309.52
NM202401223441,2024-01-03,2024-01-08,CU0051,PR506, South,Technology,Accessories,3,"$1,765.26",0.1,780.42
NM202401773930,2024-01-08,2024-01-15,CU0084,PR513,South ,furniture,Tables,7,"$1,600.45",0.1,228.24
NM202401320561,18-Jan-2024,20-Jan-2024,CU0208,PR524,West ,Office Supplies,Art,8,$574.67,0.15,47.15
NM202401883795,2024-01-15,2024-01-19,CU0215,PR513,East ,furniture,Tables,5,$889.14,0.3,-91.01
NM202401608023,14-Jan-2024,21-Jan-2024,CU0101,PR502,SOUTH,TECHNOLOGY,Phones,7,"$2,220.40",0,1083.32
NM202401625978,2024-01-25,2024-01-29,CU0113,PR503,South,TECHNOLOGY,Phones,3,$394.97,0.15,100.7
NM202401259220,2024-01-12,2024-01-14,CU0035,PR518,Central,Office Supplies,Paper,1,$40.59,0.4,6.59
NM202401166881,2024-01-21,2024-01-28,CU0185,PR501,East,Technology,Phones,1,$936.05,0.1,222.64
NM202401562537,2024-01-11,2024-01-17,CU0159,PR519, Central,office supplies,Paper,1,$10.13,0.1,2.94
NM202401644142,2024-01-25,2024-01-26,CU0202,PR513,central,Furniture,Tables,1,$228.64,0.1,32.61
NM202401946992,22-Jan-2024,22-Jan-2024,CU0197,PR508,WEST,technology,Machines,4,$367.12,0.6,-105.84
NM202401177263,2024-01-22,2024-01-29,CU0214,PR519,Central ,office supplies,Paper,2,$18.02,0.2,3.64
NM202401683790,2024-01-12,2024-01-18,CU0206,PR522,East,Office Supplies,Storage,5,$187.60,0.1,77.5
NM202401886209,2024-01-20,2024-01-21,CU0090,PR520,SOUTH,Office Supplies,Paper,3,$11.88,,-3.75
NM202401464297,2024-01-24,2024-01-24,CU0002,PR524,west,Office Supplies,Art,5,$253.53,0.4,-76.17
NM202401672506,2024-01-18,2024-01-20,CU0143,PR520,SOUTH,Office Supplies,Paper,5,$29.70,0.4,3.65
NM202401185288,2024-01-18,2024-01-24,CU0028,PR502,EAST,technology,Phones,6,"$1,903.20",0,928.56
NM202401528070,2024-01-26,2024-01-31,CU0155,PR521,SOUTH,Office Supplies,Storage,4,$79.68,0.6,-72.24
NM202401219830,2024-01-09,2024-01-11,CU0118,PR512,SOUTH,Furniture,Tables,6,"$4,181.70",0,1136.34
NM202401551970,2024-01-01,2024-01-01,CU0237,PR502, West,Technology,Phones,1,$269.62,0.15,107.18
NM202401744323,"Jan 11, 2024","Jan 11, 2024",CU0126,PR504,South ,TECHNOLOGY,Accessories,1,$618.73,0.15,192.14
NM202401810526,2024-01-01,2024-01-01,CU0080,PR513,south,Furniture,Tables,6,"$1,371.82",0.1,195.64
NM202401978860,2024-01-11,2024-01-16,CU0118,PR502,SOUTH,Technology,Phones,4,"$1,268.80",,619.04
NM202401881254,2024-01-22,2024-01-23,CU0014,PR509,SOUTH,TECHNOLOGY,Machines,4,"$2,119.90",0.2,775.06
NM202401212151,"Jan 14, 2024","Jan 20, 2024",CU0138,PR513,SOUTH,FURNITURE,Tables,8,"$2,032.32",0,464.08
NM202401211208,2024-01-18,2024-01-21,CU0027,PR524,EAST,Office Supplies,Art,8,$676.08,0,148.56
NM202401636965,2024-01-31,2024-02-05,CU0196,PR524, East,Office Supplies,Art,6,$507.06,0,111.42
NM202401320736,2024-01-08,2024-01-14,CU0127,PR521,South,OFFICE SUPPLIES,Storage,2,$99.60,0,23.64
NM202401225669,2024-01-23,2024-01-26,CU0194,PR521,West,office supplies,Storage,5,$174.30,0.3,-15.6
NM202401114025,2024-01-31,2024-02-07,CU0157,PR513,South,Furniture,Tables,1,$101.62,0.6,-94.41
NM202401898343,2024-01-01,2024-01-06,CU0002,PR506,west,Technology,Accessories,8,"$4,445.84",0.15,1819.6
NM202401459301,2024-01-20,2024-01-26,CU0124,PR513,East,FURNITURE,Tables,2,$508.08,0,116.02
NM202401876281,2024-01-10,2024-01-11,CU0101,PR524,South ,office supplies,Art,3,$152.12,0.4,-45.7
NM202401666650,2024-01-04,2024-01-08,CU0134,PR515, Central,Furniture,Bookcases,5,"$2,861.55",0,1277.65
NM202401655820,2024-01-11,2024-01-18,CU0232,PR510,Central ,furniture,Chairs,1,$242.64,0,75.83
NM202401657367,2024-01-13,2024-01-14,CU0020,PR512,CENTRAL,FURNITURE,Tables,3,$836.34,0.6,-686.34
NM202401886167,2024-01-13,2024-01-14,CU0093,PR515,east,FURNITURE,Bookcases,4,"$2,289.24",0,1022.12
NM202401246686,2024-01-01,2024-01-08,CU0034,PR502, East,technology,Phones,5,$634.40,0.6,-177.8
NM202401927812,2024-01-15,2024-01-18,CU0143,PR512, South,FURNITURE,Tables,2,$975.73,0.3,-39.39
NM202401508497,2024-01-23,2024-01-24,CU0113,PR505, South,Technology,Accessories,5,$388.48,0.6,-174.12
NM202401695852,2024-01-20,2024-01-25,CU0052,PR506,east,Technology,Accessories,5,"$2,778.65",0.15,1137.25
NM202401339315,"Jan 06, 2024","Jan 12, 2024",CU0113,PR515,SOUTH,FURNITURE,Bookcases,4,"$1,831.39",0.2,564.27
NM202401257247,"Jan 16, 2024","Jan 17, 2024",CU0026,PR511, South,Furniture,Chairs,2,$237.62,0,112.28
NM202401641485,2024-01-13,2024-01-19,CU0084,PR512,South,Furniture,Tables,5,"$2,962.04",0.15,424.24
NM202401573061,2024-01-11,2024-01-13,CU0087,PR507, South,Technology,Machines,4,$145.15,0.15,65.75
NM202401146693,2024-01-20,2024-01-23,CU0039,PR507,EAST,Technology,Machines,7,$298.83,0,159.88
NM202401846263,2024-01-23,2024-01-24,CU0078,PR501,South,Technology,Phones,3,"$2,496.14",0.2,355.91
NM202401635476,22-Jan-2024,26-Jan-2024,CU0068,PR503,West,Technology,Phones,6,$650.54,0.3,62.0
NM202401256262,2024-01-29,2024-01-30,CU0049,PR514,Central,furniture,Bookcases,8,"$1,801.80",0.15,521.56
NM202401201901,2024-01-02,2024-01-06,CU0169,PR504,SOUTH,technology,Accessories,3,"$2,183.76",0,903.99
NM202401186211,2024-01-07,2024-01-07,CU0149,PR512,WEST,Furniture,Tables,4,"$2,787.80",0,757.56
NM202401256017,2024-01-09,2024-01-16,CU0145,PR514,south,FURNITURE,Bookcases,8,"$1,907.78",0.1,627.54
NM202401491783,"Jan 28, 2024","Feb 03, 2024",CU0080,PR524,SOUTH,office supplies,Art,6,$405.65,0.2,10.01
NM202401960084,2024-01-26,2024-01-27,CU0228,PR503,West,Technology,Phones,6,$789.94,0.15,201.4
NM202401566371,2024-01-11,2024-01-16,CU0204,PR511,Central ,Furniture,Chairs,7,$706.92,0.15,268.23
NM202401227646,2024-01-14,2024-01-18,CU0175,PR515,central,Furniture,Bookcases,4,"$1,831.39",0.2,564.27
NM202401869577,2024-01-22,2024-01-29,CU0229,PR517,Central ,Office Supplies,Binders,5,$309.54,0.3,70.24
NM202401583669,2024-01-14,2024-01-19,CU0104,PR516,east,OFFICE SUPPLIES,Binders,8,$65.55,0.15,26.51
NM202401181765,2024-01-12,2024-01-17,CU0087,PR507,SOUTH,Technology,Machines,1,$29.88,0.3,10.03
NM202401926119,2024-01-23,2024-01-25,CU0040,PR507,West,Technology,Machines,6,$179.30,0.3,60.2
NM202401677112,2024-01-11,2024-01-11,CU0154,PR504,south,TECHNOLOGY,Accessories,5,"$3,639.60",0,1506.65
NM202401612886,2024-01-03,2024-01-09,CU0008,PR520,South,Office Supplies,Paper,2,$19.80,0,9.38
NM202401384823,"Jan 30, 2024","Jan 30, 2024",CU0057,PR502,Central ,technology,Phones,1,$190.32,0.4,27.88
NM202401135071,2024-01-08,2024-01-08,CU0148,PR516,south,Office Supplies,Binders,7,$67.48,0,
NM202401137366,2024-01-04,2024-01-05,CU0006,PR515,South,FURNITURE,Bookcases,6,"$2,747.09",0.2,846.41
NM202401407068,2024-01-26,2024-02-01,CU0129,PR514,south,Furniture,Bookcases,5,"$1,059.88",0.2,259.73
NM202401316913,2024-01-28,2024-01-31,CU0041,PR516,south,Office Supplies,Binders,1,$8.68,0.1,3.8
NM202401194882,2024-01-26,2024-01-28,CU0048,PR512,west,furniture,Tables,4,"$2,230.24",0.2,200.0
NM202401570223,2024-01-25,2024-01-26,CU0148,PR503,south,TECHNOLOGY,Phones,8,"$1,239.12",0,454.4
NM202401345483,2024-01-12,2024-01-14,CU0172,PR524,central,Office Supplies,Art,1,$67.61,0.2,1.67
NM202401488868,2024-01-18,2024-01-25,CU0053,PR504,East,TECHNOLOGY,Accessories,3,"$2,183.76",0,903.99
NM202401533019,2024-01-19,2024-01-24,CU0082,PR520,East,Office Supplies,Paper,3,$25.25,0.15,9.62
NM202401541737,2024-01-21,2024-01-25,CU0194,PR507,west,Technology,Machines,7,$298.83,0,159.88
NM202401350490,2024-01-25,2024-02-01,CU0227,PR509,West ,Technology,Machines,4,"$2,649.88",0,1305.04
NM202401365973,2024-01-17,2024-01-21,CU0005,PR520,east,Office Supplies,Paper,1,$9.90,0,4.69
NM202401382718,30-Jan-2024,31-Jan-2024,CU0175,PR509,central,Technology,Machines,7,"$4,637.29",0,2283.82
NM202401714411,2024-01-24,2024-01-31,CU0225,PR501,West,Technology,Phones,6,"$5,616.32",0.1,1335.86
NM202401840371,2024-01-15,2024-01-19,CU0023,PR514, Central,Furniture,Bookcases,6,"$1,351.35",0.15,391.17
NM202401541479,2024-01-03,2024-01-07,CU0131,PR524,Central ,Office Supplies,Art,5,$359.17,0.15,29.47
NM202401538983,2024-01-03,2024-01-03,CU0002,PR512,WEST,furniture,Tables,4,"$2,787.80",0,757.56
NM202401514838,2024-01-07,2024-01-08,CU0048,PR501,West ,TECHNOLOGY,Phones,8,"$7,072.41",0.15,1365.13
NM202401760369,2024-01-20,2024-01-26,CU0158,PR516,South,OFFICE SUPPLIES,Binders,6,$57.84,0,28.56
NM202401570762,2024-01-08,2024-01-09,CU0063,PR511, Central,Furniture,Chairs,4,$475.24,0,224.56
NM202401353956,2024-01-31,2024-02-07,CU0064,PR506,West,TECHNOLOGY,Accessories,3,"$1,961.40",0,976.56
NM202401441302,2024-01-14,2024-01-16,CU0081,PR511,East,furniture,Chairs,7,$831.67,0,392.98
NM202401404545,"Jan 17, 2024","Jan 20, 2024",CU0035,PR508,CENTRAL,technology,Machines,2,$367.12,0.2,
NM202401523982,2024-01-25,2024-01-31,CU0163,PR506,central,TECHNOLOGY,Accessories,3,"$1,667.19",0.15,682.35
NM202401304973,2024-01-23,2024-01-23,CU0076,PR521,CENTRAL,office supplies,Storage,5,$224.10,0.1,34.2
NM202401230396,2024-01-01,2024-01-07,CU0173,PR522,West ,Office Supplies,Storage,6,$200.11,0.2,67.99
NM202401541419,2024-01-26,2024-01-31,CU0040,PR505,West ,TECHNOLOGY,Accessories,7,"$1,155.73",0.15,368.09
NM202401134853,2024-01-24,2024-01-24,CU0228,PR523,West ,Office Supplies,Art,7,$357.21,0,86.66
NM202401598293,2024-01-16,2024-01-18,CU0139,PR517,West,Office Supplies,Binders,8,$601.39,0.15,218.51
NM202401720165,2024-01-05,2024-01-06,CU0223,PR506,central,technology,Accessories,3,"$1,372.98",0.3,388.14
NM202401481461,2024-01-18,2024-01-20,CU0211,PR514,central,FURNITURE,Bookcases,2,$450.45,0.15,130.39
NM202401632365,2024-01-30,2024-02-02,CU0204,PR503,central,Technology,Phones,6,$650.54,0.3,62.0
NM202401331984,"Jan 25, 2024","Jan 28, 2024",CU0228,PR504,west,Technology,Accessories,3,"$1,528.63",0.3,248.86
NM202401857124,2024-01-16,2024-01-23,CU0100,PR510,CENTRAL,FURNITURE,Chairs,4,$970.56,0,303.32
NM202401247182,2024-01-05,2024-01-11,CU0027,PR521,East,OFFICE SUPPLIES,Storage,4,$119.52,0.4,-32.4
NM202401451588,2024-01-16,2024-01-21,CU0122,PR502, East,Technology,Phones,5,"$1,586.00",,773.8
NM202401542941,08-Jan-2024,13-Jan-2024,CU0185,PR501,EAST,Technology,Phones,4,"$4,160.24",0,1306.6
NM202401957465,2024-01-10,2024-01-13,CU0151,PR509,CENTRAL,Technology,Machines,3,"$1,788.67",0.1,780.04
NM202401433902,2024-01-14,2024-01-17,CU0152,PR505, East,technology,Accessories,6,$815.81,0.3,140.69
NM202401914103,2024-01-07,2024-01-08,CU0056,PR504,East ,technology,Accessories,8,"$3,494.02",0.4,81.3
NM202401943212,2024-01-08,2024-01-14,CU0075,PR505,West,Technology,Accessories,1,$155.39,0.2,42.87
NM202401574742,2024-01-26,2024-02-02,CU0174,PR522,East,Office Supplies,Storage,8,$266.82,0.2,
NM202401995222,2024-01-05,2024-01-07,CU0094,PR511,East ,Furniture,Chairs,1,$95.05,0.2,32.38
NM202401594352,2024-01-07,2024-01-08,CU0134,PR504,CENTRAL,TECHNOLOGY,Accessories,6,"$4,367.52",,1807.98
NM202401861068,2024-01-26,2024-01-31,CU0065,PR504,SOUTH,Technology,Accessories,6,"$4,367.52",0,1807.98
NM202401893970,2024-01-29,2024-02-05,CU0090,PR511, South,furniture,Chairs,7,$665.34,0.2,226.65
NM202401503953,2024-01-08,2024-01-14,CU0138,PR511, South,Furniture,Chairs,7,$499.00,0.4,60.31
NM202401619606,"Jan 05, 2024","Jan 11, 2024",CU0108,PR520, East,office supplies,Paper,8,$79.20,0,37.52
NM202401228455,2024-01-16,2024-01-23,CU0182,PR511,East,Furniture,Chairs,4,$285.14,0.4,34.46
NM202401319565,"Jan 29, 2024","Feb 02, 2024",CU0108,PR506,east,Technology,Accessories,7,"$3,890.11",0.15,1592.15
NM202401301277,2024-01-21,2024-01-27,CU0043,PR514,South ,Furniture,Bookcases,7,"$1,669.31",0.1,549.1
NM202401482175,2024-01-17,2024-01-19,CU0033,PR522, South,office supplies,Storage,1,$33.35,0.2,11.33
NM202401687656,2024-01-30,2024-02-04,CU0227,PR521,West,Office Supplies,Storage,8,$338.64,0.15,34.8
NM202401505091,2024-01-08,2024-01-12,CU0029,PR520,West,OFFICE SUPPLIES,Paper,8,$47.52,0.4,5.84
NM202401734789,2024-01-04,2024-01-05,CU0096,PR524,east,Office Supplies,Art,7,$591.57,0,129.99
NM202401384485,2024-01-31,2024-02-06,CU0130,PR505,Central,Technology,Accessories,2,$388.48,0,163.44
NM202401735888,2024-01-16,2024-01-17,CU0038,PR504,SOUTH,Technology,Accessories,4,"$1,747.01",0.4,40.65
NM202401631781,2024-01-29,2024-01-30,CU0167,PR502,south,TECHNOLOGY,Phones,8,"$2,283.84",,984.32
NM202401334646,24-Jan-2024,26-Jan-2024,CU0026,PR522,South ,Office Supplies,Storage,7,$175.10,0.4,20.96
NM202401413792,2024-01-24,2024-01-27,CU0144,PR518, West,Office Supplies,Paper,8,$432.96,0.2,160.96
NM202401513975,2024-01-19,2024-01-21,CU0073,PR524,WEST,office supplies,Art,1,$59.16,0.3,-6.78
NM202401689663,2024-01-09,2024-01-16,CU0093,PR505,East,Technology,Accessories,2,$388.48,0,163.44
NM202401404735,2024-01-12,2024-01-12,CU0187,PR520, East,Office Supplies,Paper,6,$53.46,,22.2
NM202401241541,2024-01-26,2024-01-31,CU0054,PR519,South,Office Supplies,Paper,7,$67.00,0.15,16.67
NM202401750393,2024-01-18,2024-01-18,CU0219,PR519, West,office supplies,Paper,1,$11.26,0,4.07
NM202401210235,2024-01-06,2024-01-12,CU0089,PR512,WEST,furniture,Tables,2,"$1,393.90",0,378.78
NM202401485622,31-Jan-2024,06-Feb-2024,CU0205,PR504,central,Technology,Accessories,8,"$4,949.86",0.15,1537.14
NM202401863217,2024-01-06,2024-01-08,CU0157,PR524,south,Office Supplies,Art,6,$507.06,0,111.42
NM202401106526,2024-01-28,2024-02-01,CU0081,PR520,east,Office Supplies,Paper,5,$29.70,0.4,3.65
NM202401523586,2024-01-30,2024-01-30,CU0102,PR501, West,Technology,Phones,8,"$4,992.29",0.4,-714.99
NM202401924220,2024-01-12,2024-01-14,CU0029,PR514,West,furniture,Bookcases,1,$238.47,0.1,78.44
NM202401525598,"Jan 13, 2024","Jan 18, 2024",CU0104,PR506, East,Technology,Accessories,6,"$3,530.52",0.1,1560.84
NM202401541165,2024-01-08,2024-01-12,CU0070,PR516,CENTRAL,Office Supplies,Binders,1,$9.64,0,4.76
NM202401546778,01-Jan-2024,03-Jan-2024,CU0126,PR519,South,Office Supplies,Paper,6,$47.29,0.3,4.15
NM202401852394,2024-01-23,2024-01-28,CU0128,PR521,EAST,office supplies,Storage,7,$348.60,0,82.74
NM202401721820,2024-01-20,2024-01-27,CU0069,PR518, East,office supplies,Paper,7,$426.20,0.1,188.2
NM202401642893,2024-01-01,2024-01-04,CU0072,PR518,south,office supplies,Paper,5,$304.43,0.1,134.43
NM202401160544,2024-01-04,2024-01-08,CU0118,PR501, South,Technology,Phones,1,"$1,040.06",0,326.65
NM202401657590,2024-01-31,2024-02-01,CU0138,PR513,SOUTH,FURNITURE,Tables,4,$914.54,0.1,130.42
NM202401768164,2024-01-16,2024-01-20,CU0039,PR515,East ,FURNITURE,Bookcases,5,"$2,861.55",0,1277.65
NM202401502455,2024-01-07,2024-01-14,CU0054,PR514,South,furniture,Bookcases,3,$635.93,0.2,155.84
NM202401488055,2024-01-13,2024-01-16,CU0134,PR520,Central ,Office Supplies,Paper,2,$19.80,0,9.38
